g,dB,WWseedDensity,RWseedDensity,RRseedDensity,WWplantDensity,RWplantDensity,RRplantDensity
0.211,0.299518377693283,13055.8189220924,0.0021933318293515,0.00536138507419128,207.542072443654,3.50675769605527e-05,8.57642016735355e-05
0.212,0.301319796954315,12980.0927396637,0.00217350925776996,0.00531163833958044,207.544080454598,3.49544024880766e-05,8.54675561102163e-05
0.213,0.303125794155019,12905.0025626333,0.00215389715471153,0.0052623989453166,207.546027825346,3.48415577356963e-05,8.51713593471421e-05
0.214,0.304936386768448,12830.5415419856,0.00213449296651171,0.00521366105820986,207.547916186654,3.47290430870449e-05,8.48756157566802e-05
0.215,0.306751592356688,12756.7029065253,0.00211529417355302,0.00516541891945488,207.549747130152,3.46168589156205e-05,8.45803296832054e-05
0.216,0.308571428571429,12683.4799620892,0.0020962982897799,0.005117666843624,207.551522209203,3.45050055845209e-05,8.4285505442355e-05
0.217,0.310395913154534,12610.8660907617,0.00207750286222122,0.00507039921767482,207.553242939763,3.43934834461947e-05,8.39911473203125e-05
0.218,0.312225063938619,12538.854750096,0.00205890547052027,0.00502361049997214,207.5549108012,3.42822928422053e-05,8.3697259573117e-05
0.219,0.314058898847631,12467.4394723402,0.00204050372647215,0.00497729521932386,207.556527237112,3.41714341030086e-05,8.34038464259992e-05
0.22,0.315897435897436,12396.6138636675,0.00202229527356834,0.00493144797403073,207.558093656115,3.4060907547745e-05,8.31109120727419e-05
0.221,0.317740693196406,12326.371603413,0.00200427778654842,0.0048860634309496,207.559611432618,3.39507134840431e-05,8.28184606750674e-05
0.222,0.319588688946015,12256.7064433143,0.00198644897095856,0.00484113632457002,207.56108190758,3.3840852207837e-05,8.25264963620472e-05
0.223,0.321441441441441,12187.6122067582,0.00196880656271694,0.0047966614561038,207.562506389248,3.37313240031951e-05,8.22350232295371e-05
0.224,0.323298969072165,12119.0827880317,0.0019513483276858,0.00475263369258758,207.563886153883,3.36221291421613e-05,8.19440453396359e-05
0.225,0.325161290322581,12051.1121515795,0.00193407206124997,0.00470904796599787,207.565222446462,3.35132678846072e-05,8.16535667201654e-05
0.226,0.32702842377261,11983.6943312655,0.00191697558790191,0.00466589927237861,207.566516481375,3.34047404780957e-05,8.13635913641749e-05
