AsexualSexual,Run,pEscape,timeEscape,pExtinct,timeExtinct,pRWplant,timeRWplant,pRRplant,timeRRplant
0.00207185590932769,55,0.137,0.0581019477828429,0.863,Inf,1,5.15328467153285,1,6.08029197080292
0.00207185590932769,56,0.12,0.052134272689598,0.88,Inf,1,5.28333333333333,1,6.2
0.00207185590932769,57,0.165,0.0736842105263158,0.835,Inf,1,5.41818181818182,1,6.35757575757576
0.00207185590932769,58,0.127,0.0530460008288438,0.873,Inf,1,5.06299212598425,1,6.01574803149606
0.00207185590932769,59,0.141,0.0611686697057605,0.859,Inf,1,5.27659574468085,1,6.19148936170213
0.00207185590932769,60,0.157,0.0724409448818898,0.843,Inf,1,5.5796178343949,1,6.55414012738853
0.00207185590932769,61,0.119,0.0626605884790717,0.881,Inf,1,6.38655462184874,1,7.31932773109244
0.00207185590932769,62,0.13,0.0574388727724824,0.87,Inf,1,5.35384615384615,1,6.3
0.00207185590932769,63,0.137,0.0604227103191049,0.863,Inf,1,5.40875912408759,1,6.23357664233577
0.00207185590932769,64,0.141,0.0636552009946125,0.859,Inf,1,5.49645390070922,1,6.39716312056738
0.00207185590932769,65,0.137,0.0639038541234977,0.863,Inf,1,5.67153284671533,1,6.58394160583942
0.00207185590932769,66,0.139,0.0568586821384169,0.861,Inf,1,4.97841726618705,1,5.89208633093525
0.00207185590932769,67,0.138,0.077579776212184,0.862,Inf,1,6.81884057971014,1,7.7463768115942
0.00207185590932769,68,0.138,0.0579361790302528,0.862,Inf,1,5.09420289855072,1,6.03623188405797
0.00207185590932769,69,0.152,0.0741815167840862,0.848,Inf,1,5.90789473684211,1,6.86842105263158
0.00207185590932769,70,0.132,0.059428097803564,0.868,Inf,1,5.46969696969697,1,6.39393939393939
0.00207185590932769,71,0.122,0.049730625777041,0.878,Inf,1,4.98360655737705,1,5.85245901639344
0.00207185590932769,72,0.133,0.0638209697472027,0.867,Inf,1,5.79699248120301,1,6.78195488721805
0.00207185590932769,73,0.143,0.0702030667219229,0.857,Inf,1,5.97202797202797,1,6.87412587412587
0.00207185590932769,74,0.15,0.0596767509324492,0.85,Inf,1,4.83333333333333,1,5.76666666666667
0.00207185590932769,75,0.115,0.0511396601740572,0.885,Inf,1,5.4,1,6.3304347826087
0.00207185590932769,76,0.128,0.0592623290509739,0.872,Inf,1,5.625,1,6.5390625
0.00207185590932769,77,0.136,0.0611686697057605,0.864,Inf,1,5.46323529411765,1,6.38970588235294
0.00207185590932769,78,0.129,0.0520513883133029,0.871,Inf,1,4.89922480620155,1,5.83720930232558
