g,dB,Run,pEscape,timeEscape,pExtinct,timeExtinct,pRWplant,timeRWplant,pRRplant,timeRRplant
0.1,0.124444444444444,30,0.802,9.77556109725686,0.191,387.298429319372,1,23.414,1,10.846
0.1,0.124444444444444,31,0.796,9.56658291457286,0.198,389.146464646465,1,23.11,1,10.234
0.1,0.124444444444444,32,0.8,9.46125,0.19,387.931578947368,1,23.128,1,10.906
0.1,0.124444444444444,33,0.806,6.90446650124069,0.186,391.844086021505,1,21.448,1,9.163
0.1,0.124444444444444,34,0.811,7.67077681874229,0.18,393.655555555556,1,21.28,1,8.607
0.1,0.124444444444444,35,0.799,8.82102628285357,0.192,391.317708333333,1,21.578,1,10.061
0.1,0.124444444444444,36,0.782,11.1278772378517,0.207,388.410628019324,1,23.414,1,12.439
0.1,0.124444444444444,37,0.793,8.92559899117276,0.2,387.845,1,23.432,1,10.913
0.1,0.124444444444444,38,0.807,9.30607187112763,0.183,389.830601092896,1,24.371,1,11.082
0.1,0.124444444444444,39,0.802,8.28802992518703,0.189,391.835978835979,1,24.301,1,10.237
0.1,0.124444444444444,40,0.81,8.18641975308642,0.177,388.412429378531,1,22.208,1,10.297
0.1,0.124444444444444,41,0.807,9.52044609665428,0.184,394.766304347826,1,22.678,1,11.03
0.1,0.124444444444444,42,0.806,7.8287841191067,0.186,386.758064516129,1,21.798,1,9.896
0.1,0.124444444444444,43,0.812,8.30172413793103,0.18,398.983333333333,1,21.978,1,9.975
0.1,0.124444444444444,44,0.804,8.25746268656716,0.188,395.191489361702,1,22.125,1,9.933
0.1,0.124444444444444,45,0.812,7.97167487684729,0.182,395.445054945055,1,19.57,1,10.61
0.1,0.124444444444444,46,0.812,8.92364532019704,0.183,385.699453551913,1,20.113,1,10.311
0.1,0.124444444444444,47,0.792,9.9040404040404,0.201,390.407960199005,1,22.251,1,10.818
0.1,0.124444444444444,48,0.794,8.7544080604534,0.201,389.398009950249,1,21.863,1,10.246
0.1,0.124444444444444,49,0.801,9.02247191011236,0.192,391.203125,1,21.16,1,11.055
0.1,0.124444444444444,50,0.806,7.63523573200993,0.179,389.877094972067,1,21.77,1,9.125
0.1,0.124444444444444,51,0.778,8.77506426735219,0.212,390.037735849057,1,22.195,1,9.457
0.1,0.124444444444444,52,0.784,8.14030612244898,0.213,386.863849765258,1,21.96,1,9.885
0.1,0.124444444444444,53,0.815,9.11533742331288,0.178,389.747191011236,1,22.17,1,9.683
0.1,0.124444444444444,54,0.8,10.41,0.188,392.191489361702,1,23.915,1,11.357
0.1,0.124444444444444,55,0.791,8.68394437420986,0.197,386.121827411167,1,22.474,1,10.682
0.1,0.124444444444444,56,0.79,8.09620253164557,0.2,389.07,1,22.841,1,10.215
0.1,0.124444444444444,57,0.819,8.86935286935287,0.176,387.721590909091,1,22.391,1,10.1
0.1,0.124444444444444,58,0.805,9.15403726708075,0.185,392.789189189189,1,22.726,1,10.407
0.1,0.124444444444444,59,0.806,9.83995037220844,0.185,387.735135135135,1,22.542,1,11.175
0.1,0.124444444444444,60,0.798,7.78070175438596,0.197,389.578680203046,1,21.925,1,9.142
0.1,0.124444444444444,61,0.82,8.18048780487805,0.178,389.792134831461,1,20.967,1,9.519
0.1,0.124444444444444,62,0.81,9.40617283950617,0.181,389.453038674033,1,23.539,1,10.025
0.1,0.124444444444444,63,0.802,10.7281795511222,0.191,393.340314136126,1,25.762,1,10.85
0.1,0.124444444444444,64,0.814,9.93857493857494,0.176,392.170454545455,1,24.812,1,11.993
0.1,0.124444444444444,65,0.828,11.3550724637681,0.165,392.242424242424,1,25.033,1,12.473
0.1,0.124444444444444,66,0.82,10.3841463414634,0.173,390.526011560694,1,24.455,1,11.867
0.1,0.124444444444444,67,0.796,9.24120603015075,0.194,390.613402061856,1,23.288,1,12.292
0.1,0.124444444444444,68,0.8,8.0375,0.193,386.222797927461,1,23.423,1,10.225
0.1,0.124444444444444,69,0.814,7.61547911547912,0.179,389.396648044693,1,22.793,1,9.869
0.1,0.124444444444444,70,0.81,9.27283950617284,0.182,385.340659340659,1,23.983,1,10.823
0.1,0.124444444444444,71,0.794,9.69017632241814,0.196,391.530612244898,1,23.378,1,10.894
0.1,0.124444444444444,72,0.815,8.57177914110429,0.182,391.175824175824,1,23.167,1,9.643
0.1,0.124444444444444,73,0.807,10.0359355638166,0.181,387.878453038674,1,23.533,1,11.208
0.1,0.124444444444444,74,0.824,8.5752427184466,0.166,390.807228915663,1,22.412,1,11.849
0.1,0.124444444444444,75,0.824,7.83009708737864,0.173,393.867052023121,1,21.181,1,9.598
0.1,0.124444444444444,76,0.79,8.80253164556962,0.201,387.238805970149,1,22.008,1,9.824
0.1,0.124444444444444,77,0.798,8.27318295739348,0.194,393.283505154639,1,22.051,1,9.064
0.1,0.124444444444444,78,0.807,8.37670384138786,0.184,387.434782608696,1,23.167,1,9.363
0.1,0.124444444444444,79,0.841,7.90249702734839,0.148,391.358108108108,1,22.161,1,9.549
0.1,0.124444444444444,80,0.809,9.57478368355995,0.179,390.055865921788,1,22.679,1,10.558
0.1,0.124444444444444,81,0.805,9.52298136645963,0.185,390.221621621622,1,23.303,1,10.915
0.1,0.124444444444444,82,0.824,8.68203883495146,0.165,390.884848484848,1,22.773,1,11.04
0.1,0.124444444444444,83,0.81,8.07777777777778,0.179,390.77094972067,1,21.437,1,10.928
0.1,0.124444444444444,84,0.804,9.08830845771144,0.185,390.627027027027,1,22.267,1,10.5
0.1,0.124444444444444,85,0.807,10.1660470879802,0.187,385.299465240642,1,23.157,1,11.505
0.1,0.124444444444444,86,0.805,9.66832298136646,0.188,397.670212765957,1,22.539,1,11.692
0.1,0.124444444444444,87,0.795,9.21761006289308,0.199,388.462311557789,1,22.265,1,11.49
0.1,0.124444444444444,88,0.802,8.9713216957606,0.188,395.260638297872,1,22.636,1,10.766
0.1,0.124444444444444,89,0.803,8.44458281444583,0.19,394.357894736842,1,21.986,1,10.608
0.1,0.124444444444444,90,0.807,9.81288723667906,0.188,388.106382978723,1,23.659,1,10.417
0.1,0.124444444444444,91,0.808,10.3935643564356,0.184,390.58152173913,1,24.566,1,11.573
0.1,0.124444444444444,92,0.797,10.3337515683814,0.192,393.135416666667,1,25.322,1,11.577
0.1,0.124444444444444,93,0.804,8.40298507462687,0.184,390.358695652174,1,23.295,1,11.07
0.1,0.124444444444444,94,0.813,8.88191881918819,0.18,390.411111111111,1,22.734,1,11.225
