AsexualSexual,Run,pEscape,timeEscape,pExtinct,timeExtinct,pRWplant,timeRWplant,pRRplant,timeRRplant
0,49,0.107,0.0981408652127279,0.893,Inf,1,5.1588785046729,1,6.10280373831776
0,50,0.107,0.0905104367654797,0.893,Inf,1,4.88785046728972,1,5.75700934579439
0,51,0.138,0.132043158075013,0.862,Inf,1,5.63768115942029,1,6.53623188405797
0,52,0.115,0.0992610010077259,0.885,Inf,1,5.15652173913043,1,6.12173913043478
0,53,0.095,0.0892709538766738,0.905,Inf,1,5.72631578947368,1,6.64210526315789
0,54,0.112,0.0882973543255965,0.888,Inf,1,4.91071428571429,1,5.80357142857143
0,55,0.106,0.0844104037019307,0.894,Inf,1,5.04716981132075,1,5.93396226415094
0,56,0.125,0.0982478097622028,0.875,Inf,1,5.048,1,6
0,57,0.116,0.0803626306084819,0.884,Inf,1,4.57758620689655,1,5.43965517241379
0,58,0.117,0.0816603773584906,0.883,Inf,1,4.64102564102564,1,5.60683760683761
0,59,0.106,0.0791858564849205,0.894,Inf,1,5.08490566037736,1,5.9622641509434
0,60,0.114,0.0793279766252739,0.886,Inf,1,4.79824561403509,1,5.7280701754386
0,61,0.113,0.0813452141419948,0.887,Inf,1,5.04424778761062,1,5.97345132743363
0,62,0.112,0.0637906647807638,0.888,Inf,1,4.10714285714286,1,4.94642857142857
0,63,0.115,0.0853166318719555,0.885,Inf,1,5.34782608695652,1,6.31304347826087
0,64,0.126,0.0770072493502941,0.874,Inf,1,4.53174603174603,1,5.40476190476191
0,65,0.124,0.0759919300605245,0.876,Inf,1,4.65322580645161,1,5.45967741935484
0,66,0.139,0.0811988381304463,0.861,Inf,1,4.46043165467626,1,5.38848920863309
0,67,0.13,0.0767133956386293,0.87,Inf,1,4.6,1,5.49230769230769
0,68,0.123,0.0801073208125719,0.877,Inf,1,5.15447154471545,1,6.04065040650407
0,69,0.106,0.0644144711962688,0.894,Inf,1,4.86792452830189,1,5.77358490566038
0,70,0.111,0.063276976628543,0.889,Inf,1,4.62162162162162,1,5.54954954954955
0,71,0.101,0.0585635359116022,0.899,Inf,1,4.74257425742574,1,5.7029702970297
0,72,0.109,0.0678458929004119,0.891,Inf,1,5.15596330275229,1,6.11926605504587
0,73,0.131,0.0769230769230769,0.869,Inf,1,5,1,5.84732824427481
0,74,0.132,0.0865328167195022,0.868,Inf,1,5.62878787878788,1,6.53787878787879
0,75,0.116,0.0568747828101471,0.884,Inf,1,4.25862068965517,1,5.20689655172414
0,76,0.115,0.0642432556012803,0.885,Inf,1,4.92173913043478,1,5.85217391304348
0,77,0.112,0.0743792325056433,0.888,Inf,1,5.91071428571429,1,6.85714285714286
0,78,0.126,0.0815713331849544,0.874,Inf,1,5.84920634920635,1,6.78571428571429
0,79,0.122,0.0752086078173035,0.878,Inf,1,5.63114754098361,1,6.5983606557377
0,80,0.108,0.0583767361111111,0.892,Inf,1,5.02777777777778,1,5.93518518518519
0,81,0.119,0.0674879485806106,0.881,Inf,1,5.34453781512605,1,6.2436974789916
0,82,0.114,0.0676262038310932,0.886,Inf,1,5.60526315789474,1,6.60526315789474
0,83,0.139,0.0712348769294952,0.861,Inf,1,4.94964028776978,1,5.87769784172662
0,84,0.111,0.0590782554902567,0.889,Inf,1,5.18918918918919,1,6.13513513513514
0,85,0.13,0.0567707803438804,0.87,Inf,1,4.34615384615385,1,5.23846153846154
0,86,0.101,0.0382678751258812,0.899,Inf,1,3.8019801980198,1,4.72277227722772
0,87,0.125,0.0644455494778717,0.875,Inf,1,5.224,1,6.144
0,88,0.108,0.0552986322936141,0.892,Inf,1,5.24074074074074,1,6.16666666666667
0,89,0.131,0.0722751117155625,0.869,Inf,1,5.72519083969466,1,6.63358778625954
0,90,0.116,0.0556195965417867,0.884,Inf,1,5.03448275862069,1,5.94827586206897
0,91,0.113,0.045424308657227,0.887,Inf,1,4.28318584070797,1,5.17699115044248
0,92,0.1,0.0443377576955662,0.9,Inf,1,4.78,1,5.64
0,93,0.123,0.0539735715615113,0.877,Inf,1,4.75609756097561,1,5.67479674796748
0,94,0.095,0.0358822986809335,0.905,Inf,1,4.12631578947368,1,5.06315789473684
0,95,0.096,0.051385206180854,0.904,Inf,1,5.90625,1,6.80208333333333
0,96,0.101,0.0461134263453524,0.899,Inf,1,5.0990099009901,1,5.98019801980198
0,97,0.132,0.0632050134288272,0.868,Inf,1,5.39393939393939,1,6.3030303030303
0,98,0.106,0.0511706278822277,0.894,Inf,1,5.49056603773585,1,6.39622641509434
0,99,0.105,0.0434935418680257,0.895,Inf,1,4.79047619047619,1,5.63809523809524
0,100,0.121,0.0513823682837767,0.879,Inf,1,4.96694214876033,1,5.80165289256198
0.00207185590932769,1,0.13,0.0721613632411754,0.87,Inf,1,6.40769230769231,1,7.36153846153846
0.00207185590932769,2,0.111,0.0541644931316293,0.889,Inf,1,5.67567567567568,1,6.54954954954955
0.00207185590932769,3,0.108,0.0491218918448965,0.892,Inf,1,5.26851851851852,1,6.19444444444444
0.00207185590932769,4,0.119,0.0562510867675187,0.881,Inf,1,5.47058823529412,1,6.39495798319328
0.00207185590932769,5,0.113,0.0679881759693966,0.887,Inf,1,6.94690265486726,1,7.89380530973451
0.00207185590932769,6,0.133,0.0711180664232307,0.867,Inf,1,6.18045112781955,1,7.1203007518797
0.00207185590932769,7,0.132,0.0639019300991132,0.868,Inf,1,5.59848484848485,1,6.53787878787879
0.00207185590932769,8,0.132,0.063641105894627,0.868,Inf,1,5.62121212121212,1,6.46969696969697
0.00207185590932769,9,0.131,0.0652060511215441,0.869,Inf,1,5.76335877862595,1,6.68702290076336
0.00207185590932769,10,0.108,0.0568596765779864,0.892,Inf,1,6.08333333333333,1,7.02777777777778
0.00207185590932769,11,0.124,0.0585115632063989,0.876,Inf,1,5.44354838709677,1,6.39516129032258
0.00207185590932769,12,0.123,0.0688575899843505,0.877,Inf,1,6.51219512195122,1,7.36585365853659
0.00207185590932769,13,0.103,0.0513823682837767,0.897,Inf,1,5.80582524271845,1,6.66990291262136
0.00207185590932769,14,0.152,0.0751173708920188,0.848,Inf,1,5.73026315789474,1,6.63815789473684
0.00207185590932769,15,0.132,0.0651191097200487,0.868,Inf,1,5.71212121212121,1,6.63636363636364
0.00207185590932769,16,0.142,0.066075465136498,0.858,Inf,1,5.40140845070423,1,6.30281690140845
0.00207185590932769,17,0.139,0.0823335072161363,0.861,Inf,1,6.85611510791367,1,7.76978417266187
0.00207185590932769,18,0.127,0.0606850982437837,0.873,Inf,1,5.52755905511811,1,6.46456692913386
0.00207185590932769,19,0.131,0.0794644409667884,0.869,Inf,1,7.02290076335878,1,7.93129770992366
0.00207185590932769,20,0.119,0.0569466179794818,0.881,Inf,1,5.52100840336134,1,6.48739495798319
